scenario,slice,metric,agent_a,agent_b,p_raw,p_holm,p_bh,p_paired_t,p_paired_t_holm,p_paired_t_bh,correction_family,family_size
treatment_allocation_confounding,overall,near_optimal_rate,causal_light,structural_causal,0.517578125,1.0,0.5915178571428571,0.4791695348570184,1.0,0.5476223255508782,treatment_allocation_confounding::overall,40
treatment_allocation_confounding,overall,avg_cost,causal_light,structural_causal,0.0087890625,0.10546875,0.012122844827586207,0.005228983623840689,0.06797678710992895,0.007469976605486698,treatment_allocation_confounding::overall,40
treatment_allocation_confounding,overall,fairness_gap_ses,causal_light,structural_causal,0.00048828125,0.01953125,0.0007512019230769231,2.8090588856757206e-07,6.460835437054157e-06,6.242353079279379e-07,treatment_allocation_confounding::overall,40
treatment_allocation_confounding,normal,success_rate,causal_light,structural_causal,0.5078125,1.0,0.5489864864864865,0.512415409849386,1.0,0.5539626052425796,treatment_allocation_confounding::normal,40
treatment_allocation_confounding,normal,near_optimal_rate,causal_light,structural_causal,0.35791015625,1.0,0.40904017857142855,0.2960203711639079,1.0,0.3383089956158948,treatment_allocation_confounding::normal,40
treatment_allocation_confounding,normal,avg_cost,causal_light,structural_causal,0.00537109375,0.06982421875,0.007672991071428571,0.0023983694176810447,0.031178802429853582,0.0034262420252586354,treatment_allocation_confounding::normal,40
treatment_allocation_confounding,normal,fairness_gap_ses,causal_light,structural_causal,0.00146484375,0.02490234375,0.00244140625,8.04180916730238e-05,0.0013671075584414047,0.000134030152788373,treatment_allocation_confounding::normal,40
treatment_allocation_confounding,surface_shift,success_rate,causal_light,structural_causal,0.45751953125,1.0,0.5640388257575758,0.45216853681111113,1.0,0.5652106710138889,treatment_allocation_confounding::surface_shift,40
treatment_allocation_confounding,surface_shift,near_optimal_rate,causal_light,structural_causal,0.0126953125,0.2666015625,0.025390625,0.01049887889489896,0.23097533568777712,0.022102902936629393,treatment_allocation_confounding::surface_shift,40
treatment_allocation_confounding,surface_shift,avg_cost,causal_light,structural_causal,0.03369140625,0.6064453125,0.05859375,0.02798011802398661,0.5596023604797322,0.05329546290283164,treatment_allocation_confounding::surface_shift,40
treatment_allocation_confounding,surface_shift,fairness_gap_ses,causal_light,structural_causal,0.06494140625,0.97412109375,0.09990985576923077,0.06332138392265067,0.9498207588397601,0.09741751372715489,treatment_allocation_confounding::surface_shift,40
treatment_allocation_confounding,adversarial,success_rate,causal_light,structural_causal,0.13232421875,0.98046875,0.15401785714285715,0.13275237345589827,1.0,0.15585886120940018,treatment_allocation_confounding::adversarial,40
treatment_allocation_confounding,adversarial,near_optimal_rate,causal_light,structural_causal,0.01953125,0.1953125,0.025201612903225805,0.013681242257293667,0.13681242257293666,0.017653215815862794,treatment_allocation_confounding::adversarial,40
treatment_allocation_confounding,adversarial,avg_cost,causal_light,structural_causal,0.00537109375,0.05908203125,0.007161458333333333,0.002646189839528202,0.02910808823481022,0.003528253119370936,treatment_allocation_confounding::adversarial,40
treatment_allocation_confounding,adversarial,fairness_gap_ses,causal_light,structural_causal,0.00048828125,0.01953125,0.0006734913793103449,1.707866006372877e-07,3.837975293447294e-06,3.595507381837636e-07,treatment_allocation_confounding::adversarial,40
treatment_allocation_confounding,degradation,success_rate_drop,causal_light,structural_causal,0.0009765625,0.0185546875,0.00244140625,0.0011292326974364937,0.014680025066674419,0.0018820544957274894,treatment_allocation_confounding::degradation,30
treatment_allocation_confounding,degradation,fairness_gap_increase,causal_light,structural_causal,0.04443359375,0.2392578125,0.05126953125,0.04209509984235294,0.2104754992117647,0.04857126904886878,treatment_allocation_confounding::degradation,30
treatment_allocation_confounding,degradation,near_optimal_rate_drop,causal_light,structural_causal,0.015625,0.125,0.020380434782608696,0.016799903054018246,0.1355287592048844,0.02191291702698032,treatment_allocation_confounding::degradation,30
treatment_allocation_confounding,overall,success_rate,causal_light,workflow,0.00048828125,0.01953125,0.0007512019230769231,5.94686687369478e-17,2.2598094120040168e-15,7.929155831593041e-16,treatment_allocation_confounding::overall,40
treatment_allocation_confounding,overall,near_optimal_rate,causal_light,workflow,0.00048828125,0.01953125,0.0007512019230769231,5.095822328493567e-17,1.987370708112491e-15,7.929155831593041e-16,treatment_allocation_confounding::overall,40
treatment_allocation_confounding,overall,avg_cost,causal_light,workflow,0.00048828125,0.01953125,0.0007512019230769231,3.6434584376675425e-18,1.457383375067017e-16,1.457383375067017e-16,treatment_allocation_confounding::overall,40
treatment_allocation_confounding,overall,fairness_gap_ses,causal_light,workflow,0.42138671875,1.0,0.4957490808823529,0.3806887514536068,1.0,0.4478691193571845,treatment_allocation_confounding::overall,40
treatment_allocation_confounding,normal,success_rate,causal_light,workflow,0.00048828125,0.01953125,0.0008491847826086956,9.423688167419559e-14,3.5810015036194324e-12,1.2564917556559412e-12,treatment_allocation_confounding::normal,40
treatment_allocation_confounding,normal,near_optimal_rate,causal_light,workflow,0.00048828125,0.01953125,0.0008491847826086956,4.434602962162578e-14,1.7294951552434055e-12,8.869205924325156e-13,treatment_allocation_confounding::normal,40
treatment_allocation_confounding,normal,avg_cost,causal_light,workflow,0.00048828125,0.01953125,0.0008491847826086956,3.751568532493786e-16,1.5006274129975145e-14,1.5006274129975145e-14,treatment_allocation_confounding::normal,40
treatment_allocation_confounding,normal,fairness_gap_ses,causal_light,workflow,0.029296875,0.3515625,0.040364583333333336,0.026289457769135497,0.31171795993995277,0.03475262030586253,treatment_allocation_confounding::normal,40
treatment_allocation_confounding,surface_shift,success_rate,causal_light,workflow,0.00048828125,0.01953125,0.0011488970588235295,1.4326081804196874e-13,5.157389449510875e-12,1.14608654433575e-12,treatment_allocation_confounding::surface_shift,40
treatment_allocation_confounding,surface_shift,near_optimal_rate,causal_light,workflow,0.00048828125,0.01953125,0.0011488970588235295,1.5087358551109595e-15,5.884069834932742e-14,3.017471710221919e-14,treatment_allocation_confounding::surface_shift,40
treatment_allocation_confounding,surface_shift,avg_cost,causal_light,workflow,0.00048828125,0.01953125,0.0011488970588235295,1.7436958947528472e-16,6.974783579011389e-15,6.974783579011389e-15,treatment_allocation_confounding::surface_shift,40
treatment_allocation_confounding,surface_shift,fairness_gap_ses,causal_light,workflow,0.84326171875,1.0,0.8648838141025641,0.8434033958674181,1.0,0.8650291239665827,treatment_allocation_confounding::surface_shift,40
treatment_allocation_confounding,adversarial,success_rate,causal_light,workflow,0.00048828125,0.01953125,0.0006734913793103449,2.178910441422329e-14,8.27985967740485e-13,2.500613044083926e-13,treatment_allocation_confounding::adversarial,40
treatment_allocation_confounding,adversarial,near_optimal_rate,causal_light,workflow,0.00048828125,0.01953125,0.0006734913793103449,1.8395573318124904e-14,7.174273594068713e-13,2.500613044083926e-13,treatment_allocation_confounding::adversarial,40
treatment_allocation_confounding,adversarial,avg_cost,causal_light,workflow,0.00048828125,0.01953125,0.0006734913793103449,6.95294070833827e-16,2.7811762833353082e-14,2.7811762833353082e-14,treatment_allocation_confounding::adversarial,40
